citationVelocity,paperId,citations_count,pid,Venue Citation Count,Venue Scholarly Output,Venue Percent Cited,Venue CiteScore,Venue SNIP,Venue SJR,avg_pub,avg_hidx,avg_auth_cites,avg_high_inf_cites,max_pub,max_hidx,max_auth_cites,max_high_inf_cites,first_pub,first_hidx,first_auth_cites,first_high_inf_cites,last_pub,last_hidx,last_auth_cites,last_high_inf_cites,citation_count_per_year,inf_citation_count_per_year,Venue Rank Ratio,citationVelocity_cite,citation_count_per_year_cite,inf_citation_count_per_year_cite,fos_Psychology_Medicine_cite,fos_Psychology_cite,fos_Other_cite,cs_m1,cs_m2,cs_m3,cs_m4,cs_m5,cs_m6,cs_m7,cs_m8,cs_m9,cs_m10,cs_m11,cs_m12,cs_m13,cs_m14,cs_m15,cs_m16,cs_m17,cs_m18,cs_m19,cs_m20,cs_m21,cs_m22,cs_m23,cs_m24,cs_m25,cs_m26,cs_m27,cs_m28,cs_m29,cs_m30,cs_m31,cs_m32,cs_m33,cs_m34,fos_Physcology,fos_Business_Economics,fos_Government_Law,fos_Sociology,fos_Education_Educational_Research,fos_International_Relations,fos_Public_Administration,fos_Other,paper_age
7,d476b5d977e67e4cbecc00707b5e39de842fac9a,38,GN7O,903,145,83.4,6.2,1.878,2.67,23.66666667,8.333333333,306.6666667,7.666666667,35,10,463,13,6,5,121,2,35,10,463,8,5.428571429,0,0.056338028,0.763157895,1.514912281,0.035087719,0.210526316,0.578947368,0.210526316,0.522903,0.372088675,0.341139432,0.376,0.333284054,0.376,0.577259517,0.268757026,0.458,0.384820241,0.537368421,0.3,0.65,0.65,0.651668523,0.851316276,0.648809285,0.671248247,0.7,0.696969697,0.587803377,0.589176702,0.648251309,0.648892825,0.655430891,0.649916549,0.653933742,0.6,0.65,0.654068242,0.699431409,0.651851852,0.7,0.661267606,1,0,0,0,0,0,0,0,6
11,81665206de9f62f4b1c766a29863b647a6960981,44,Peaa,1081,138,76.1,7.8,4.132,3.856,61.75,19.75,1881.75,121,128,28,3287,206,12,8,223,11,69,28,2956,206,8.8,0.8,0.012067578,0,1.321705426,0.031007752,0.023255814,0.186046512,0.790697674,0.79,0.804413903,0.827352739,0.846,0.839686164,0.83,0.711616865,0.802938516,0.698,0.851154599,0.692105263,0.8,0.425,0.425,0.421549299,0.304383891,0.411524661,0.351747573,0.463636364,0.492105263,0.444330105,0.497199606,0.409154834,0.411816136,0.43260048,0.424695934,0.412162874,0.425,0.425,0.419906791,0.545870985,0.40625,0.470863309,0.464285714,0,0,0,1,0,0,0,0,4
12,d7cf39dc35d32be1bbca195ed62d6f228fa5051c,39,lY82,1081,138,76.1,7.8,4.132,3.856,45,14.5,870.5,56,51,16,886,57,39,13,886,57,51,16,855,55,9.75,0.25,0.012067578,0.307692308,1.094017094,0.13034188,0.051282051,0.282051282,0.666666667,0.85,0.835368936,0.884475685,0.758,0.822785478,0.768,0.838025785,0.831652374,0.684,0.813059674,0.746153846,0.8,0.5375,0.5,0.543213617,0.600568379,0.511737378,0.743236715,0.553846154,0.51943128,0.499888733,0.551147064,0.513052809,0.511873797,0.545377662,0.537349696,0.516377062,0.466666667,0.5375,0.536684156,0.746481406,0.559090909,0.556940383,0.477146465,0,0,0,1,0,0,0,0,3
7,b9649eda12983f501ac63edb30c9503a1bd2b2d1,75,Xdwr,1744,263,77.2,6.6,2.236,5.557,77.5,17.75,2684,180.25,144,27,4978,419,72,19,2718,142,144,27,2540,136,6.818181818,0.545454545,0.070707071,3.459459459,4.075983073,0.266193738,0.067567568,0.391891892,0.540540541,0.45999998,0.411669118,0.378298188,0.316,0.232634839,0.346,0.42062215,0.326991613,0.474,0.310369361,0.478235294,0.4,0.5225,0.535,0.522783993,0.560703137,0.522458209,0.550337838,0.525714286,0.500092308,0.521137264,0.522873832,0.524996461,0.52245462,0.472107392,0.522504892,0.472134271,0.554893617,0.5225,0.537343715,0.619136484,0.514,0.501916933,0.493383838,0,1,0,0,0,0,0,0,10
0,5a55e046ea18f7482b0982b25f1773f79186e1be,13,ByBk,1530,252,79.8,6.1,2.887,3.5,168,37,6286,222,168,37,6286,222,168,37,6286,222,168,37,6286,222,3.25,0.25,0.031375704,0.538461538,1.435897436,0.233333333,0,0,1,0.42999995,0.404850406,0.436829179,0.428,0.509545117,0.428,0.297568415,0.475707657,0.446,0.397570584,0.400555556,0.4,0.586363636,0.6,0.589352746,0.722571443,0.566122633,0.630907598,0.7,0.576916667,0.531755397,0.540284429,0.564108167,0.566061665,0.585207105,0.586426626,0.568732102,0.62036149,0.586363636,0.615355671,0.699095544,0.58015625,0.7,0.584169611,0,0,0,0,0,0,0,1,3
11,048be8ee48c445fdfd239e54d1f0e766e8589044,105,g8N7,2824,187,85.6,15.1,5.154,8.626,12,6,323.5,16,14,7,448,21,14,7,448,21,10,5,199,11,8.75,0.583333333,0.007614213,0.761904762,1.477057651,0.10398715,0.00952381,0.104761905,0.885714286,0.4,0.4,0.366984954,0.596,0.315685762,0.446,0.575344464,0.326991613,0.63,0.516177535,0.57,0.4,0.35,0.3,0.345306531,0.148683724,0.339420369,0.369184742,0.329166667,0.336666667,0.41563056,0.42346427,0.340291242,0.339324903,0.328951048,0.350090198,0.320376601,0.307627119,0.35,0.358393782,0.498378501,0.35,0.314003479,0.357526882,0,1,0,0,0,0,0,0,11
11,cad40ecf53f45d2d7c89e246bd91dc3a822afeb4,109,PB1K,4268,490,85.1,8.7,5.285,11.999,181,17.5,2310,234.5,227,27,4254,438,135,27,4254,438,227,8,366,31,7.785714286,0.714285714,0.029827316,2.440366972,3.122159339,0.440467585,0,0,1,0.436,0.426908642,0.385374918,0.542,0.554774189,0.556,0.583981207,0.502329748,0.642,0.426382171,0.616153846,0.4,0.625,0.625,0.626707638,0.805659511,0.620853877,0.625,0.58,0.628333333,0.60863205,0.62424494,0.62070714,0.620857897,0.608392906,0.62499591,0.605740838,0.625,0.625,0.626080002,0.699177873,0.615,0.567265805,0.654805195,0,1,0,0,0,0,0,0,9
0,006250cd77683e619095b49468f11beac122e80f,29,X5Db,11540,2023,78.8,5.7,2.097,1.944,66.83333333,13.83333333,877.5,27.5,176,29,2179,68,176,25,2179,65,104,29,2066,68,2.416666667,0,0.04,1.625,2.274516369,0.145585317,0.03125,0,0.96875,0.78,0.808304871,0.832805334,0.876,0.825810545,0.86,0.854233425,0.772987427,0.856,0.863041933,0.8255,0.8,0.48,0.45,0.479299599,0.446003473,0.451180017,0.390625,0.448275862,0.477777778,0.454338611,0.499888863,0.452230766,0.451139982,0.452305087,0.48002239,0.424665242,0.45,0.48,0.486321484,0.597190203,0.476470588,0.450100888,0.440361446,0,0,0,0,0,0,0,1,11
0,c2c95bbbaaf4a92739b0a1783ad8f6826a0abe85,14,J7Z2,1458,325,75.7,4.5,1.916,1.671,17,5.5,180.5,7,19,6,212,10,15,5,149,4,19,6,212,10,1.4,0,0.030150754,0.785714286,1.701984127,0.065873016,0.071428571,0.285714286,0.642857143,0.78000003,0.801743449,0.828061082,0.878,0.862350314,0.878,0.853254377,0.784680238,0.788,0.86823861,0.796,0.8,0.612,0.65,0.614646246,0.779305913,0.599985271,0.5495613,0.6,0.631609403,0.560037928,0.601260762,0.599720678,0.600095713,0.604062546,0.611900571,0.591935396,0.652575855,0.612,0.616523264,0.698657999,0.615862069,0.6,0.586939655,0,0,0,1,0,0,0,0,9
32,5ce628caca4cef27fda174af3c1a029116c6a958,269,r4wR,998,147,87.8,6.8,3.02,3.321,34,8.5,558.5,61.5,60,12,734,77,60,12,734,77,8,5,383,46,22.41666667,2.666666667,0.023330652,1.402930403,1.910865589,0.232053264,0,0.021978022,0.978021978,0.46,0.413050542,0.382657028,0.496,0.4502463,0.496,0.548537507,0.238003602,0.66,0.483751454,0.64625,0.3,0.58,0.575,0.584733724,0.707601214,0.572187849,0.457142857,0.548965517,0.617626218,0.562435219,0.591801894,0.57173485,0.572071684,0.518408147,0.580128758,0.516359813,0.587278351,0.58,0.603596422,0.718794128,0.584390244,0.533167578,0.545130293,0,0,0,0,0,0,1,0,11
