doi,title,num_citations,author_count,sjr,u_rank,self_citations,upstream_influential_methodology_count,subject,subject_code,citationVelocity,influentialCitationCount,references_count,openaccessflag,normalized_citations,influentialReferencesCount,reference_background,reference_result,reference_methodology,citations_background,citations_result,citations_methodology,citations_next,coCite2,coCite3,num_hypo_tested,real_p,real_p_sign,p_val_range,num_significant,sample_size,extend_p,funded,Venue_Citation_Count,Venue_Scholarly_Output,Venue_Percent_Cited,Venue_CiteScore,Venue_SNIP,Venue_SJR,avg_pub,avg_hidx,avg_auth_cites,avg_high_inf_cites,sentiment_agg,age,supporting_sentences,refuting_sentences,ratio_support
10.1016/j.jbusres.2015.08.024,Targeting without alienating on the Internet: Ethnic minority and majority consumers,10,3,2.049,2,0.015151515151515152,2,2,1406,0,0,67,0,1.6666666666666667,8,46,4,2,1,0,0,8,109,4,2,0.077,0,0.12200000000000001,0,151.0,1,0,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,32.0,11.0,882.6666666666666,51.333333333333336,0,6,7,0,0.028455284552845527
10.1002/per.1978,Differential Effects of Right-Wing Authoritarianism and Social Dominance Orientation on Dimensions of Generalized Prejudice in Brazil,25,4,2.839,2,0.05555555555555555,8,2,3207,0,0,57,0,3.5714285714285716,9,31,11,20,4,1,1,10,175,79,3,0.001,-1,0.0,3,367.0,0,1,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,112.0,24.25,3186.5,193.5,0,7,2,0,0.007518796992481203
,"Human Rights as Myth and Ceremony? Reevaluating the Effectiveness of Human Rights Treaties, 1981-2007 1",0,7,0,2,0.15217391304347827,0,0,900,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.015590200445434299
10.1177/0022243718808554,How Evaluations of Multiple Percentage Price Changes Are Influenced by Presentation Mode and Percentage Ordering: The Role of Anchoring and Surprise,6,2,6.321,2,0.13953488372093023,0,2,1403,0,0,41,0,2.0,2,6,1,1,-1,-1,-1,0,0,0,62,0.0001,0,0,53,0,1,1,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,37.5,10.5,488.0,23.0,0,3,7,0,0.018867924528301886
10.1007/s10683-012-9334-8,Costless discrimination and unequal achievements in an experimental tournament,6,3,1.464,2,0,0,2,2001,0,0,47,1,0.6666666666666666,2,23,0,3,2,0,0,5,32,1,2,5e-05,0,0,1,0,1,1,640,164,81.7,3.9,1.693,2.35,124.5,18.0,2014.0,150.0,0,9,5,0,0.01557632398753894
10.1016/j.cedpsych.2011.01.001,The role of achievement strategies on literacy acquisition across languages,19,6,2.479,2,0.19047619047619047,0,2,3304,0,4,64,0,1.9,0,0,0,0,8,3,2,6,32,13,33,0.001,0,0,14,0,0,0,1281,271,74.5,4.7,2.1180000000000003,2.152,101.16666666666667,26.5,3560.5,193.66666666666666,0,10,18,0,0.05555555555555555
10.1093/jcr/ucx092,The Effect of an Interruption on Risk Decisions,9,3,8.916,0.39603960396039606,0.057971014492753624,0,2,1403,0,0,69,0,2.25,0,0,0,0,1,0,0,5,1,0,11,0.001,0,0,8,0,1,0,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,66.0,18.666666666666668,2616.0,147.66666666666666,0,4,6,0,0.017045454545454544
10.1002/job.2256,Igniting and resolving content disagreements during team interactions: A statistical discourse analysis of team dynamics at work,7,3,3.938,0.38613861386138615,0.14049586776859505,0,2,3202,0,0,119,0,1.75,0,0,0,0,2,0,1,7,26,6,3,0.001,-1,0.049,3,899.0,1,0,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,115.5,26.5,3284.0,193.0,0,4,35,0,0.08951406649616368
10.1177/0956797612472682,Acting on Anger: Social Anxiety Modulates Approach-Avoidance Tendencies After Oxytocin Administration,62,3,3.641,2,0.0625,0,2,3200,7,4,31,0,7.75,5,18,5,8,20,5,5,30,783,254,22,0.001,-1,0.649,12,25.0,0,1,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,103.66666666666667,29.333333333333332,3178.6666666666665,165.66666666666666,0,8,6,0,0.05825242718446602
10.1017/XPS.2016.6,Discussion Group Composition and Deliberation Experience,1,3,1.967,2,0.058823529411764705,0,2,3312,0,0,19,1,0.2,1,7,2,0,0,0,0,1,0,0,4,0.005,0,0,3,0,1,0,158,70,60.0,2.3,1.086,1.624,122.0,20.0,1969.6666666666667,116.0,0,5,15,0,0.14150943396226415
10.1016/j.jesp.2018.06.002,Journal of Experimental Social Psychology,8,4,2.401,0.8118811881188119,0.08771929824561403,1,2,3207,0,2,56,0,2.6666666666666665,3,24,0,2,2,2,0,9,19,3,56,0.001,-1,0.934,42,668.0,0,0,1741.4203150876895,386.91477345110195,48.2846702620072,2.5803006497090664,0.9037346351399255,0.6755101728955776,60.5,17.0,2215.0,135.5,0,3,6,0,0.0189873417721519
